organization,model,gpqa,aime_2025,input_usd_per_m,output_usd_per_m,context_window,is_open_source,license,as_of_date,source_url
Anthropic,Claude Mythos Preview,94.6,,,,,False,proprietary,2026-08-11,https://llm-stats.com/leaderboards/llm-leaderboard
OpenAI,GPT-5.6 Sol,94.6,,5.0,30.0,1050000,False,proprietary,2026-08-11,https://llm-stats.com/leaderboards/llm-leaderboard
Google,Gemini 3.1 Pro,94.3,,2.5,15.0,1048576,False,proprietary,2026-08-11,https://llm-stats.com/leaderboards/llm-leaderboard
Anthropic,Claude Opus 4.7,94.2,,5.0,25.0,1000000,False,proprietary,2026-08-11,https://llm-stats.com/leaderboards/llm-leaderboard
Anthropic,Claude Opus 4.8,93.6,,5.0,25.0,1000000,False,proprietary,2026-08-11,https://llm-stats.com/leaderboards/llm-leaderboard
OpenAI,GPT-5.5,93.6,,5.0,30.0,1050000,False,proprietary,2026-08-11,https://llm-stats.com/leaderboards/llm-leaderboard
Moonshot AI,Kimi K3,93.5,,3.0,15.0,1048576,True,kimi_k3,2026-08-11,https://llm-stats.com/leaderboards/llm-leaderboard
OpenAI,GPT-5.2 Pro,93.2,100.0,,,,False,proprietary,2026-08-11,https://llm-stats.com/leaderboards/llm-leaderboard
xAI,Grok 4.5,93.0,,2.0,6.0,500000,False,proprietary,2026-08-11,https://llm-stats.com/leaderboards/llm-leaderboard
OpenAI,GPT-5.6 Terra,92.9,,2.0,12.0,1050000,False,proprietary,2026-08-11,https://llm-stats.com/leaderboards/llm-leaderboard
OpenAI,GPT-5.4,92.8,,2.5,15.0,1000000,False,proprietary,2026-08-11,https://llm-stats.com/leaderboards/llm-leaderboard
Alibaba Cloud / Qwen Team,Qwen3.8 Max,92.6,,,,,False,proprietary,2026-08-11,https://llm-stats.com/leaderboards/llm-leaderboard
OpenAI,GPT-5.2,92.4,100.0,1.75,14.0,400000,False,proprietary,2026-08-11,https://llm-stats.com/leaderboards/llm-leaderboard
Alibaba Cloud / Qwen Team,Qwen3.7 Max,92.4,,1.25,3.75,1000000,False,proprietary,2026-08-11,https://llm-stats.com/leaderboards/llm-leaderboard
OpenAI,GPT-5.6 Luna,92.3,,0.2,1.2,1050000,False,proprietary,2026-08-11,https://llm-stats.com/leaderboards/llm-leaderboard
Google,Gemini 3 Pro,91.9,100.0,,,,False,proprietary,2026-08-11,https://llm-stats.com/leaderboards/llm-leaderboard
Anthropic,Claude Opus 4.6,91.3,99.79,5.0,25.0,1000000,False,proprietary,2026-08-11,https://llm-stats.com/leaderboards/llm-leaderboard
Zhipu AI,GLM-5.2,91.2,,0.95,3.0,1048576,True,mit,2026-08-11,https://llm-stats.com/leaderboards/llm-leaderboard
Moonshot AI,Kimi K2.6,90.5,,0.75,3.5,262144,True,modified_mit_license,2026-08-11,https://llm-stats.com/leaderboards/llm-leaderboard
Google,Gemini 3 Flash,90.4,99.7,0.5,3.0,1000000,False,proprietary,2026-08-11,https://llm-stats.com/leaderboards/llm-leaderboard
Tencent,Hy3,90.4,,,,,True,apache_2_0,2026-08-11,https://llm-stats.com/leaderboards/llm-leaderboard
Alibaba Cloud / Qwen Team,Qwen3.6 Plus,90.4,,0.5,3.0,1000000,False,proprietary,2026-08-11,https://llm-stats.com/leaderboards/llm-leaderboard
